,tid,tname,title,desc,duration,stat,dynamic,rcmd_reason,bvid,owner,dimension,pub_location
0,137,明星综合,【时代少年团】「乌托邦乐园」舞台版,"— “乌托邦乐园” 舞台版—

➡️「乌托邦乐园」A-SIDE
欢迎光临「乌托邦乐园」。
今日游玩顺序：旋转木马 → 尘烟寻光 → 想念花园 → 沉浸鬼屋 → 烟花秋千

➡️「乌托邦乐园」B-SIDE
限时开放的「乐园」、遗失在角落的「线索」、烛光照亮的「真相」、循环播放的「游园守则」…放弃过多的好奇心，禁止窥探乐园的秘密…🤫

欢迎来到「乌托邦少年的乐园」🎉",1311,"{'aid': 308430580, 'view': 472993, 'danmaku': 177101, 'reply': 30008, 'favorite': 15667, 'coin': 26770, 'share': 8252, 'now_rank': 0, 'his_rank': 0, 'like': 64242, 'dislike': 0}",,"{'content': '5万点赞', 'corner_mark': 0}",BV1oA411k7hL,"{'mid': 3670216, 'name': 'TF家族', 'face': 'http://i1.hdslb.com/bfs/face/1c74336b9060d40d0ccf5e8bce7c0de34526b1e3.jpg'}","{'width': 1920, 'height': 1080, 'rotate': 0}",北京
1,65,网络游戏,RUN,简介写得真好,52,"{'aid': 480951024, 'view': 1093244, 'danmaku': 2505, 'reply': 695, 'favorite': 14212, 'coin': 1121, 'share': 3061, 'now_rank': 0, 'his_rank': 0, 'like': 111419, 'dislike': 0}",,"{'content': '百万播放', 'corner_mark': 0}",BV1wT41117BD,"{'mid': 363932468, 'name': '职业逃跑', 'face': 'https://i2.hdslb.com/bfs/face/7c61e38a9e54cadf6844eed043ff324c3985d61e.jpg'}","{'width': 1920, 'height': 1080, 'rotate': 0}",广东
2,153,国产动画,【独家】中国奇谭 第6集 飞鸟与鱼【1月国创】 ,岛上独居的录音师阿光被突然闯入的陌生女孩打乱了平静而又简单的生活。当两颗孤独的灵魂彼此触动时，女孩却与大海化为了一体。这个女孩是谁？来自哪里？她和阿光是否能够再次相遇？,1199,"{'aid': 223489437, 'view': 2144123, 'danmaku': 16940, 'reply': 2501, 'favorite': 89, 'coin': 11704, 'share': 49, 'now_rank': 0, 'his_rank': 0, 'like': 35006, 'dislike': 0}","#动画中国奇谭#《飞鸟与鱼》正式上线！
世界上最孤独的鲸鱼叫Alice，即使从未得到回应，它也从未停止过歌唱，而我们每个人都是Alice。
佩戴耳机观看，感受两颗孤独灵魂的碰撞！","{'content': '', 'corner_mark': 0}",BV1f841137AG,"{'mid': 98627270, 'name': '哔哩哔哩国创', 'face': 'https://i2.hdslb.com/bfs/face/ae8149db0fe146563cdbf7ff346eb9bb3dc25a12.jpg'}","{'width': 4096, 'height': 1716, 'rotate': 0}",上海
3,21,日常,漫展上出现的熟悉街道,十分敬业,45,"{'aid': 523412905, 'view': 1009434, 'danmaku': 237, 'reply': 516, 'favorite': 4650, 'coin': 658, 'share': 2875, 'now_rank': 0, 'his_rank': 0, 'like': 84102, 'dislike': 0}",,"{'content': '', 'corner_mark': 0}",BV1PM411B7XG,"{'mid': 15420799, 'name': '超绝最可爱剑魔酱', 'face': 'https://i1.hdslb.com/bfs/face/c3abf676046b1e689dfaf7a0049f09f3b93639bb.jpg'}","{'width': 1920, 'height': 1080, 'rotate': 1}",福建
4,228,人文历史,这惊心动魄的展开！电视剧也不敢这么拍,潘天炎（1932-1973），湖北枝江人。在抗美援朝战争中英勇战斗，曾经孤身一人打退敌人9次冲锋，先后荣立大小军功4次，被中国人民志愿军总部授予“青年英雄”称号，并于1953年受到毛主席的接见。,22,"{'aid': 905895885, 'view': 795359, 'danmaku': 401, 'reply': 542, 'favorite': 9564, 'coin': 2161, 'share': 1375, 'now_rank': 0, 'his_rank': 0, 'like': 143508, 'dislike': 0}",,"{'content': '13万点赞', 'corner_mark': 1}",BV1oP4y1z78Z,"{'mid': 483940995, 'name': '四川共青团', 'face': 'https://i0.hdslb.com/bfs/face/0927280edace44052867e88239d5a2fced83877a.jpg'}","{'width': 1080, 'height': 1920, 'rotate': 0}",
5,126,人力VOCALOID,⚡本 草 肛 目⚡,"萌新第一次投稿，请大家多多关照！
BGM：本草纲目
制作：碧天蓝钻",104,"{'aid': 435909465, 'view': 1624551, 'danmaku': 1589, 'reply': 1821, 'favorite': 36968, 'coin': 36443, 'share': 25805, 'now_rank': 0, 'his_rank': 20, 'like': 167218, 'dislike': 0}",,"{'content': '百万播放', 'corner_mark': 1}",BV1Z3411R7o9,"{'mid': 7275647, 'name': '碧天蓝钻', 'face': 'https://i2.hdslb.com/bfs/face/ce1595b2d2bb472bb1f5437e49cb6a2415a44147.webp'}","{'width': 1920, 'height': 1080, 'rotate': 0}",福建
6,47,短片·手书·配音,青 蛙 王 子,-,71,"{'aid': 265905110, 'view': 567655, 'danmaku': 649, 'reply': 890, 'favorite': 4018, 'coin': 1046, 'share': 8490, 'now_rank': 0, 'his_rank': 0, 'like': 73173, 'dislike': 0}",我发起了一个投票‌​说说你的青蛙王子经历,"{'content': '6万点赞', 'corner_mark': 1}",BV1QY411D7Kc,"{'mid': 698537200, 'name': 'Mastertingus', 'face': 'https://i1.hdslb.com/bfs/face/4b529da6f2c5b53769c8f8c1f34524605001827f.jpg'}","{'width': 1080, 'height': 1080, 'rotate': 0}",宁夏
7,214,田园美食,大庆赶海，退潮后发现一根大海葵藏在沙中，挖出来比胳膊还长,大庆赶海，退潮后发现一根大海葵藏在沙中，挖出来比胳膊还长,398,"{'aid': 308396557, 'view': 2197912, 'danmaku': 3624, 'reply': 673, 'favorite': 5919, 'coin': 5618, 'share': 1232, 'now_rank': 0, 'his_rank': 24, 'like': 163042, 'dislike': 0}",,"{'content': '', 'corner_mark': 0}",BV1mA411k7TS,"{'mid': 524704055, 'name': '大庆赶海', 'face': 'http://i2.hdslb.com/bfs/face/f119348814f30c6bbbcc60bd63c12b8215d19d2f.jpg'}","{'width': 1920, 'height': 1080, 'rotate': 0}",江苏
8,138,搞笑,求问九转大肠的出处是哪里？,"恶意剪辑

出自《顶级厨师》第一季第四集
可以在这看av71729504",148,"{'aid': 905997153, 'view': 1125737, 'danmaku': 1469, 'reply': 1264, 'favorite': 9506, 'coin': 1926, 'share': 7409, 'now_rank': 0, 'his_rank': 60, 'like': 132852, 'dislike': 0}",黑桃a这歌终于有用处了,"{'content': '百万播放', 'corner_mark': 1}",BV1FM4y197X1,"{'mid': 646732586, 'name': '瞎问虾猜丶', 'face': 'https://i2.hdslb.com/bfs/face/f056155bcd8c20c866c7b9a4ef2a4bc3e27871e8.jpg'}","{'width': 3840, 'height': 2160, 'rotate': 0}",天津
9,172,手机游戏,阴阳师奥妙季·2023新春会,"欢迎大家观看阴阳师奥妙季·2023新春会 （阴阳师奥妙季·极）

内容出品：阴阳师奥妙季出品团
活动赞助：阴阳师手游同人帐
发起人：解说七老爷
整体包装/合成：霁之卡比无、希图欧、Mission_使命、是阿琳琳

【节目单】

1、谁动了我的抽卡动画！
策划：霁之卡比无
制作：纟工色鱼非鱼、-山誓-、画动画的哇叽、脸脸嘉嘉、希图欧、Mission_使命

2、前排认领式神老乡
策划：解说七老爷
配音：小琨爱小蛊、IRiS七叶、鸽海成路、徐清林、吃瓜少爷、段段以及南墙、yys靠脸混饭、小团子酱Dango、奉",4065,"{'aid': 948398040, 'view': 536918, 'danmaku': 2063, 'reply': 399, 'favorite': 4591, 'coin': 4535, 'share': 883, 'now_rank': 0, 'his_rank': 0, 'like': 35320, 'dislike': 0}","欢迎观看阴阳师奥妙季·2023新春会
感谢所有UP主的参与、感谢阴阳师奥妙季同人共创企划、感谢痒痒鼠们对阴阳师同人的关注与支持，新的一年，祝大家欧气满满！","{'content': '', 'corner_mark': 0}",BV1Ys4y147Ko,"{'mid': 64137054, 'name': '解说七老爷', 'face': 'https://i0.hdslb.com/bfs/face/cde27a3b58b1cb2427e2e8ef7c8a8fac6c7bcd17.jpg'}","{'width': 1920, 'height': 1080, 'rotate': 0}",北京
10,22,鬼畜调教,【大肠说唱】这个比赛缺乏原汁原味的操作,"BGM：snoop catt
这次感觉做的还行",86,"{'aid': 223412187, 'view': 303358, 'danmaku': 322, 'reply': 677, 'favorite': 10307, 'coin': 6075, 'share': 6501, 'now_rank': 0, 'his_rank': 0, 'like': 61168, 'dislike': 0}",,"{'content': '5万点赞', 'corner_mark': 1}",BV1s841137EP,"{'mid': 5646546, 'name': '污污云', 'face': 'https://i0.hdslb.com/bfs/face/dfe36f0ee72d055c213ad710533c5c9efd0e337d.jpg'}","{'width': 1920, 'height': 1080, 'rotate': 0}",山东
11,251,三农,故乡巨变13年对比,"我从2005年开始一直在拍摄自己的故乡
这次选出几张最近13年的照片
并回到原址找到当年的人物再次拍摄
没有出现的老人就是不在了

这段对比诠释了摄影的真谛：
摄影的意义不在当下
而是在将来！",31,"{'aid': 650889595, 'view': 1645179, 'danmaku': 546, 'reply': 1625, 'favorite': 28338, 'coin': 9348, 'share': 2750, 'now_rank': 0, 'his_rank': 41, 'like': 168514, 'dislike': 0}",,"{'content': '百万播放', 'corner_mark': 1}",BV1yY4y1o7oz,"{'mid': 487917810, 'name': '简白不简', 'face': 'https://i0.hdslb.com/bfs/face/b013ec6de6f85bc626a3d8807d11529bae0f1adc.jpg'}","{'width': 2160, 'height': 2880, 'rotate': 0}",河北
12,85,小剧场,当你把一个技能练到极致的时候,,64,"{'aid': 393463600, 'view': 2999682, 'danmaku': 1607, 'reply': 2133, 'favorite': 19629, 'coin': 24283, 'share': 7555, 'now_rank': 0, 'his_rank': 16, 'like': 249601, 'dislike': 0}",,"{'content': '百万播放', 'corner_mark': 1}",BV19d4y1W7uf,"{'mid': 111095065, 'name': '黑旗团队', 'face': 'https://i1.hdslb.com/bfs/face/e6983d4d73703339dd7acb1f1e1605906170477e.jpg'}","{'width': 1920, 'height': 1080, 'rotate': 0}",新疆
13,228,人文历史,有山先生锐评《满江红》，大言炎炎，暴论迭出,祝大家新年快乐,1035,"{'aid': 905930523, 'view': 162420, 'danmaku': 3719, 'reply': 966, 'favorite': 3244, 'coin': 18294, 'share': 1115, 'now_rank': 0, 'his_rank': 0, 'like': 26054, 'dislike': 0}",,"{'content': '人文历史·人气飙升', 'corner_mark': 1}",BV1uP4y167Tm,"{'mid': 28626598, 'name': '有山先生', 'face': 'https://i1.hdslb.com/bfs/face/2991fb4983518ab32f80f9c488d8d3946a93f1a3.jpg'}","{'width': 2976, 'height': 1674, 'rotate': 0}",四川
14,138,搞笑,可爱的NE555芯片踩点行走五分钟,"【有朋友反映，电脑上看很糊，已进行AI高清修复，可继续食用】
NE555 （Timer IC）为8脚时基集成电路，大约在1971年由Signetics Corporation发布，在当时是唯一非常快速且商业化的Timer IC。NE555体积小、重量轻、稳定可靠，操作电源范围大，输出端的供给电流能力强，计时精确度高，温度稳定度佳，且价格便宜。",301,"{'aid': 863442853, 'view': 359689, 'danmaku': 278, 'reply': 1214, 'favorite': 5845, 'coin': 2352, 'share': 7804, 'now_rank': 0, 'his_rank': 0, 'like': 17649, 'dislike': 0}",,"{'content': '很多人分享', 'corner_mark': 1}",BV1SG4y1Q7zQ,"{'mid': 66946445, 'name': '混吃等死穷鬼冉某', 'face': 'https://i2.hdslb.com/bfs/face/9bd4625cae6b0367b6fc3e9911c517634307f062.jpg'}","{'width': 2560, 'height': 1436, 'rotate': 0}",江西
15,207,财经商业,【硬核】一口气了解通货膨胀,通胀这个坑确实挖了好几次，又是2022年全球经济的大旋律，今天小Lin填坑咯，一起打通任督二脉，一口气把通胀了解得明明白白！准备好接受知识的洗礼吧啊哈哈哈哈哈哈哈,1505,"{'aid': 905921931, 'view': 149589, 'danmaku': 1539, 'reply': 626, 'favorite': 4252, 'coin': 7703, 'share': 973, 'now_rank': 0, 'his_rank': 0, 'like': 16437, 'dislike': 0}","大家新春快乐呀~~~
新的一年，小Lin上来就填个大深坑。小Lin来帮你打通任督二脉，准备好接受知识的洗礼吧啊哈哈哈哈哈哈哈","{'content': '', 'corner_mark': 0}",BV1KP4y1678m,"{'mid': 520819684, 'name': '小Lin说', 'face': 'https://i1.hdslb.com/bfs/face/cf895b86c955e4ce62b28b3c2bb5bbc77f9fd410.jpg'}","{'width': 1920, 'height': 1080, 'rotate': 0}",北京
16,251,三农,医生问我是怎么做到冻伤又被烫伤的……,-,16,"{'aid': 523490990, 'view': 5304780, 'danmaku': 1154, 'reply': 2997, 'favorite': 7793, 'coin': 9085, 'share': 1424, 'now_rank': 0, 'his_rank': 9, 'like': 342986, 'dislike': 0}",,"{'content': '', 'corner_mark': 0}",BV1EM411B7n8,"{'mid': 50316381, 'name': '疆域阿力木', 'face': 'https://i0.hdslb.com/bfs/face/05626e28bbbb34f944f28791a75a2cef4f396a6e.jpg'}","{'width': 1080, 'height': 1920, 'rotate': 0}",新疆
17,21,日常,【warma爆炸电台】曾经性格阴沉的我正在分享创作心得与日常【第十一期】,"你好~这是我的一期电台节目，现在也已经是第十一期啦，但是即便没看过前面几期也不会影响观看，因为这是个什么都聊聊看的日常电台嘛~
 
这期电台内容非常友好、令人安心，只是偶尔有点“问题”，但好在目前还是处于能安全观看的水平，请来看看吧。
 
录音/视频制作：warma
我的微博：_warma_
 
背景插画：认知Renz
发光粒子素材：K_Lacid 
【视频某处的曲子的staff】
翻唱：Warma
曲绘：不鱼
PV：祈凉_&兽人苦工
后期：白萝卜音乐工作室
 
（感谢以上老师的帮助~）",4644,"{'aid': 990909915, 'view': 356998, 'danmaku': 28988, 'reply': 6305, 'favorite': 33774, 'coin': 65277, 'share': 6731, 'now_rank': 0, 'his_rank': 15, 'like': 89169, 'dislike': 0}",充满惊…惊喜的电台来了！没有任何令人不安的内容，非常安全，可以绝对高兴地观看。,"{'content': '8万点赞', 'corner_mark': 1}",BV1Ex4y177xd,"{'mid': 53456, 'name': 'Warma', 'face': 'http://i2.hdslb.com/bfs/face/c1bbee6d255f1e7fc434e9930f0f288c8b24293a.jpg'}","{'width': 1920, 'height': 1080, 'rotate': 0}",云南
18,183,影视剪辑,【流浪地球2\4K\60帧】太空电梯 全网最清晰流畅,"基于流浪地球官方发布预告片综合剪辑制作

补帧和超分软件为SVFI
@SVFI视觉 作者也在B站",125,"{'aid': 608451141, 'view': 1043006, 'danmaku': 1422, 'reply': 3195, 'favorite': 22884, 'coin': 17558, 'share': 12129, 'now_rank': 0, 'his_rank': 96, 'like': 52908, 'dislike': 0}",,"{'content': '5万点赞', 'corner_mark': 1}",BV1K84y1L7Nb,"{'mid': 16669765, 'name': '60帧小弟', 'face': 'https://i1.hdslb.com/bfs/face/e8eca47be4ea245c16fdf6540adff2564ee5a27b.jpg'}","{'width': 3840, 'height': 1726, 'rotate': 0}",四川
19,138,搞笑,过年小游戏之《答非所问》,,97,"{'aid': 478441282, 'view': 1026542, 'danmaku': 315, 'reply': 420, 'favorite': 8970, 'coin': 1967, 'share': 4474, 'now_rank': 0, 'his_rank': 0, 'like': 117615, 'dislike': 0}",,"{'content': '百万播放', 'corner_mark': 1}",BV13T411o7FN,"{'mid': 667710632, 'name': '三个猪鼓励', 'face': 'http://i2.hdslb.com/bfs/face/5d285d8a44238c23277a85e59625b2b900ebebb6.jpg'}","{'width': 1080, 'height': 1920, 'rotate': 0}",河北
0,212,美食侦探,给年轻的巴西烤肉自助餐上一课！,地址：上海拉蒂娜巴西牛肉馆,369,"{'aid': 608382532, 'view': 603071, 'danmaku': 988, 'reply': 711, 'favorite': 1685, 'coin': 1424, 'share': 1386, 'now_rank': 0, 'his_rank': 0, 'like': 59524, 'dislike': 0}",,"{'content': '', 'corner_mark': 0}",BV1s84y177dy,"{'mid': 1618410357, 'name': '吃不饱仨战士', 'face': 'https://i0.hdslb.com/bfs/face/3266bb1d6e99b29aa8cd218b83f0b1e45858771a.jpg'}","{'width': 1080, 'height': 1920, 'rotate': 0}",浙江
1,17,单机游戏,【荒野大镖客2】我的亚瑟比任何人都需要救赎  （二十五期）,新年第一条,42,"{'aid': 350968544, 'view': 1003791, 'danmaku': 365, 'reply': 241, 'favorite': 4223, 'coin': 776, 'share': 1314, 'now_rank': 0, 'his_rank': 0, 'like': 82430, 'dislike': 0}",,"{'content': '', 'corner_mark': 0}",BV1rR4y1h7cc,"{'mid': 14941159, 'name': '不正经的羔羊', 'face': 'https://i1.hdslb.com/bfs/face/c0934334d394a39cf0f152191756ddd0015176ac.jpg'}","{'width': 2160, 'height': 2160, 'rotate': 0}",山东
